frame_id,left_detected,right_detected,left_conf,right_conf,lat_offset_m,latency_ms
0,1,1,1.0,1.0,-0.0066,43.77
1,1,1,1.0,1.0,-0.0181,70.27
2,1,1,1.0,1.0,-0.0231,95.13
3,1,1,1.0,1.0,0.0353,81.34
4,1,1,1.0,1.0,-0.0157,86.05
5,1,1,1.0,1.0,-0.0209,75.2
6,1,1,1.0,1.0,-0.0271,79.46
7,1,1,1.0,1.0,-0.0178,83.14
8,1,1,1.0,1.0,0.0145,93.66
9,1,1,1.0,1.0,0.0075,85.98
10,1,1,1.0,1.0,-0.0051,81.57
11,1,1,1.0,1.0,-0.0154,84.52
12,1,1,1.0,1.0,-0.0315,93.87
13,1,1,1.0,1.0,0.0257,104.98
14,1,1,1.0,1.0,0.0134,98.91
15,1,1,1.0,1.0,-0.001,107.47
16,1,1,1.0,1.0,0.0598,108.27
17,1,1,1.0,1.0,-0.0047,102.15
18,1,1,1.0,1.0,0.0035,87.56
19,1,1,1.0,1.0,-0.0222,97.2
20,1,1,1.0,1.0,-0.0249,77.9
21,1,1,1.0,1.0,-0.0192,99.82
22,1,1,1.0,1.0,-0.0194,88.74
23,1,1,1.0,1.0,0.01,78.54
24,1,1,1.0,1.0,-0.0021,71.71
25,1,1,1.0,1.0,-0.0045,73.04
26,1,1,1.0,1.0,-0.0055,71.99
27,1,1,1.0,1.0,-0.0136,73.6
28,1,1,1.0,1.0,-0.0302,71.95
29,1,1,1.0,1.0,0.0498,77.81
30,1,1,1.0,1.0,-0.0108,75.06
31,1,1,1.0,1.0,0.0054,72.79
32,1,1,1.0,1.0,-0.0245,75.4
33,1,1,1.0,1.0,-0.0314,81.44
34,1,1,1.0,1.0,-0.0278,81.55
35,1,1,1.0,1.0,-0.0823,97.61
36,1,1,1.0,1.0,0.0103,91.64
37,1,1,1.0,1.0,-0.0097,105.66
38,1,1,1.0,1.0,-0.0031,124.85
39,1,1,1.0,1.0,-0.0408,100.53
40,1,1,1.0,1.0,0.011,178.63
41,1,1,1.0,1.0,-0.1367,84.46
42,1,1,1.0,1.0,-0.0738,84.61
43,1,1,1.0,1.0,-0.1849,89.54
44,1,1,1.0,1.0,-0.0488,77.98
45,1,1,1.0,1.0,-0.048,76.19
46,1,1,1.0,1.0,-0.0221,77.28
47,1,1,1.0,1.0,-0.1214,73.76
48,1,1,1.0,1.0,0.0024,74.35
49,1,1,1.0,1.0,-0.0517,79.46
50,1,1,1.0,1.0,0.0278,74.53
51,1,1,1.0,1.0,0.0294,69.79
52,1,1,1.0,1.0,0.0325,68.32
53,1,1,1.0,1.0,-0.0005,77.11
54,1,1,1.0,1.0,0.0061,79.99
55,1,1,1.0,1.0,0.0189,79.84
56,1,1,1.0,1.0,0.0244,81.77
57,1,1,1.0,1.0,-0.0461,82.52
58,1,1,1.0,1.0,0.0102,88.53
59,1,1,1.0,1.0,-0.0134,84.72
60,1,1,1.0,1.0,0.0069,80.07
61,1,1,1.0,1.0,-0.0148,91.25
62,1,1,1.0,1.0,-0.0217,90.24
63,1,1,1.0,1.0,-0.0198,101.69
64,1,1,1.0,1.0,0.0534,104.03
65,1,1,1.0,1.0,0.0282,93.36
66,1,1,1.0,1.0,-0.0997,102.91
67,1,1,1.0,1.0,-0.0155,91.92
68,1,1,1.0,1.0,-0.0022,94.34
69,1,1,1.0,1.0,-0.03,98.61
70,1,1,1.0,1.0,-0.0501,78.4
71,1,1,1.0,1.0,0.0354,77.41
72,1,1,1.0,1.0,-0.0539,85.07
73,1,1,1.0,1.0,-0.1307,95.1
74,1,1,1.0,1.0,0.0005,70.75
75,1,1,1.0,1.0,0.0197,67.69
76,1,1,1.0,1.0,-0.0127,73.1
77,1,1,1.0,1.0,0.0018,68.49
78,1,1,1.0,1.0,0.0492,69.36
79,1,1,1.0,1.0,0.0452,73.15
80,1,1,1.0,1.0,0.0391,83.56
81,1,1,1.0,1.0,0.0423,81.01
82,1,1,1.0,1.0,0.0042,90.56
83,1,1,1.0,1.0,-0.016,88.45
84,1,1,1.0,1.0,0.0395,73.79
85,1,1,1.0,1.0,0.0401,102.55
86,1,1,1.0,1.0,0.0285,91.83
87,1,1,1.0,1.0,0.0557,96.28
88,1,1,1.0,1.0,0.0593,100.94
89,1,1,1.0,1.0,0.0407,102.29
90,1,1,1.0,1.0,0.0587,81.11
91,1,1,1.0,1.0,0.0204,106.57
92,1,1,1.0,1.0,0.0469,93.08
93,1,1,1.0,1.0,-0.1243,90.33
94,1,1,1.0,1.0,0.0458,73.34
95,1,1,1.0,1.0,-0.0057,78.14
96,1,1,1.0,1.0,0.0135,85.25
97,1,1,1.0,1.0,0.0342,73.67
98,1,1,1.0,1.0,0.077,82.43
99,1,1,1.0,1.0,0.0742,84.65
100,1,1,1.0,1.0,0.0728,79.2
101,1,1,1.0,1.0,0.0308,76.2
102,1,1,1.0,1.0,0.039,72.85
103,1,1,1.0,1.0,0.096,72.55
104,1,1,1.0,1.0,0.0574,70.89
105,1,1,1.0,1.0,0.0767,81.34
106,1,1,1.0,1.0,0.0582,73.32
107,1,1,1.0,1.0,0.0829,83.43
108,1,1,1.0,1.0,0.0692,77.18
109,1,1,1.0,1.0,0.0333,70.23
110,1,1,1.0,1.0,0.019,79.45
111,1,1,1.0,1.0,0.08,84.68
112,1,1,1.0,1.0,0.0829,86.11
113,1,1,1.0,1.0,0.0781,96.66
114,1,1,1.0,1.0,0.0872,93.18
115,1,1,1.0,1.0,0.0819,90.09
116,1,1,1.0,1.0,-0.0519,98.38
117,1,1,1.0,1.0,-0.021,112.74
118,1,1,1.0,1.0,0.1369,92.41
119,1,1,1.0,1.0,-0.0014,112.23
120,1,1,1.0,1.0,-0.0358,123.98
121,1,1,1.0,1.0,0.0731,84.08
122,1,1,1.0,1.0,0.0148,87.36
123,1,1,1.0,1.0,0.08,90.21
124,1,1,1.0,1.0,0.0415,71.97
125,1,1,1.0,1.0,0.0896,72.25
126,1,1,1.0,1.0,0.088,73.97
127,1,1,1.0,1.0,0.0893,76.23
128,1,1,1.0,1.0,0.0373,80.04
129,1,1,1.0,1.0,0.1352,70.15
130,1,1,1.0,1.0,0.0723,75.17
131,1,1,1.0,1.0,0.123,70.27
132,1,1,1.0,1.0,0.1328,73.6
133,1,1,1.0,1.0,0.0849,68.55
134,1,1,1.0,1.0,0.086,80.56
135,1,1,1.0,1.0,0.1125,77.99
136,1,1,1.0,1.0,0.089,86.84
137,1,1,1.0,1.0,0.094,93.35
138,1,1,1.0,1.0,0.1063,92.12
139,1,1,1.0,1.0,0.1432,111.3
140,1,1,1.0,1.0,-0.0302,98.92
141,1,1,1.0,1.0,0.1302,90.46
142,1,1,1.0,1.0,0.0292,82.81
143,1,1,1.0,1.0,0.078,95.8
144,1,1,1.0,1.0,0.1468,82.37
145,1,1,1.0,1.0,0.076,85.15
146,1,1,1.0,1.0,0.1117,76.33
147,1,1,1.0,1.0,0.1337,73.89
148,1,1,1.0,1.0,0.1259,74.04
149,1,1,1.0,1.0,0.1379,79.19
150,1,1,1.0,1.0,0.1238,80.77
151,1,1,1.0,1.0,0.1672,78.08
152,1,1,1.0,1.0,0.1237,82.55
153,1,1,1.0,1.0,0.1478,78.58
154,1,1,1.0,1.0,0.1615,78.98
155,1,1,1.0,1.0,0.1576,69.86
156,1,1,1.0,1.0,0.121,69.88
157,1,1,1.0,1.0,0.1617,76.43
158,1,1,1.0,1.0,0.1553,75.7
159,1,1,1.0,1.0,0.1397,76.09
160,1,1,1.0,1.0,0.1596,85.35
161,1,1,1.0,1.0,0.1513,79.13
162,1,1,1.0,1.0,0.1492,93.39
163,1,1,1.0,1.0,0.1606,90.31
164,1,1,1.0,1.0,0.143,96.43
165,1,1,1.0,1.0,0.1677,93.01
166,1,1,1.0,1.0,0.113,97.96
167,1,1,1.0,1.0,0.1736,122.7
168,1,1,1.0,1.0,0.1251,78.6
169,1,1,1.0,1.0,0.1412,89.59
170,1,1,1.0,1.0,0.1323,79.07
171,1,1,1.0,1.0,0.1641,74.88
172,1,1,1.0,1.0,0.1286,71.71
173,1,1,1.0,1.0,0.1879,75.75
174,1,1,1.0,1.0,0.1738,67.98
175,1,1,1.0,1.0,0.1787,67.79
176,1,1,1.0,1.0,0.1626,66.32
177,1,1,1.0,1.0,0.1477,67.31
178,1,1,1.0,1.0,0.1741,65.46
179,1,1,1.0,1.0,0.1896,66.61
180,1,1,1.0,1.0,0.1789,61.8
181,1,1,1.0,1.0,0.1196,66.22
182,1,1,1.0,1.0,0.1614,73.3
183,1,1,1.0,1.0,0.1428,73.69
184,1,1,1.0,1.0,0.1628,78.75
185,1,1,1.0,1.0,0.1806,90.13
186,1,1,1.0,1.0,0.1782,95.16
187,1,1,1.0,1.0,0.156,98.81
188,1,1,1.0,1.0,0.1447,89.71
189,1,1,1.0,1.0,0.1478,108.89
190,1,1,1.0,1.0,0.0296,97.68
191,1,1,1.0,1.0,0.1943,103.68
192,1,1,1.0,1.0,0.0109,90.54
193,1,1,1.0,1.0,0.108,83.48
194,1,1,1.0,1.0,0.103,83.7
195,1,1,1.0,1.0,0.0878,79.03
196,1,1,1.0,1.0,0.1967,79.06
197,1,1,1.0,1.0,0.1708,80.34
198,1,1,1.0,1.0,0.1934,87.21
199,1,1,1.0,1.0,0.1922,75.39
200,1,1,1.0,1.0,0.1872,81.77
201,1,1,1.0,1.0,0.1208,79.21
202,1,1,1.0,1.0,0.1933,68.91
203,1,1,1.0,1.0,0.1941,82.62
204,1,1,1.0,1.0,0.198,62.53
205,1,1,1.0,1.0,0.1926,67.09
206,1,1,1.0,1.0,0.162,73.74
207,1,1,1.0,1.0,0.1642,72.14
208,1,1,1.0,1.0,0.1694,81.06
209,1,1,1.0,1.0,0.1615,93.14
