frame_id,left_detected,right_detected,left_conf,right_conf,lat_offset_m,latency_ms
132,1,1,1.0,1.0,-0.9581,77.43
133,1,1,1.0,1.0,-0.9038,79.55
134,1,1,1.0,1.0,-0.9422,82.91
135,1,1,1.0,1.0,-0.9406,84.63
136,1,1,1.0,1.0,-0.9411,100.87
137,1,1,1.0,1.0,-0.9409,75.73
138,1,1,1.0,1.0,-0.9351,90.11
139,1,1,1.0,1.0,-0.9508,83.5
140,1,1,1.0,1.0,-0.951,75.3
141,1,1,1.0,1.0,-0.9554,75.73
142,1,1,1.0,1.0,-0.9557,70.89
143,1,1,1.0,1.0,-0.9475,66.64
144,1,1,1.0,1.0,-0.9616,94.61
145,1,1,1.0,1.0,-0.9327,71.34
146,1,1,1.0,1.0,-1.0288,84.39
147,1,1,1.0,1.0,-1.0307,83.02
148,1,1,1.0,1.0,-1.0049,76.69
149,1,1,1.0,1.0,-0.9723,78.59
150,1,1,1.0,1.0,-0.9552,84.66
151,1,1,1.0,1.0,-0.9335,63.94
152,1,1,1.0,1.0,-0.9349,66.47
153,1,1,1.0,1.0,-0.9298,90.91
154,1,1,1.0,1.0,-0.9207,72.89
155,1,1,1.0,1.0,-0.9159,77.01
156,1,1,1.0,1.0,-0.9154,80.01
157,1,1,1.0,1.0,-0.8755,84.7
158,1,1,1.0,1.0,-0.9073,111.39
159,1,1,1.0,1.0,-0.8797,87.79
160,1,1,1.0,1.0,-0.922,107.71
161,1,1,1.0,1.0,-0.9248,89.49
162,1,1,1.0,1.0,-0.8033,102.97
163,1,1,1.0,1.0,-0.9069,86.92
164,1,1,1.0,1.0,-0.873,84.45
165,1,1,1.0,1.0,-0.8438,102.3
166,1,1,1.0,1.0,-0.8631,76.58
167,1,1,1.0,1.0,-0.8008,97.46
168,1,1,1.0,1.0,-0.8018,75.34
169,1,1,1.0,1.0,-0.7958,79.46
170,1,1,1.0,1.0,-0.8243,78.0
171,1,1,1.0,1.0,-0.8161,91.32
172,1,1,1.0,1.0,-0.7455,84.24
173,1,1,1.0,1.0,-0.6913,93.93
174,1,1,1.0,1.0,-0.775,77.86
175,1,1,1.0,1.0,-0.6844,92.28
176,1,1,1.0,1.0,-0.7343,71.24
177,1,1,1.0,1.0,-0.7372,80.32
178,1,1,1.0,1.0,-0.7365,81.75
179,1,1,1.0,1.0,-0.7061,77.97
180,1,1,1.0,1.0,-0.5967,75.87
181,1,1,1.0,1.0,-0.6105,81.0
182,1,1,1.0,1.0,-0.7378,82.66
183,1,1,1.0,1.0,-0.6993,83.85
184,1,1,1.0,1.0,-0.8206,88.99
185,1,1,1.0,1.0,-0.7841,89.04
186,1,1,1.0,1.0,-0.696,75.18
187,1,1,1.0,1.0,-0.7174,79.15
188,1,1,1.0,1.0,-0.6786,74.86
189,1,1,1.0,1.0,-0.7268,76.16
190,1,1,1.0,1.0,-0.6922,80.56
191,1,1,1.0,1.0,-0.6716,87.6
192,1,1,1.0,1.0,-0.6188,63.75
193,1,1,1.0,1.0,-0.6821,73.01
194,1,1,1.0,1.0,-0.6764,70.49
195,1,1,1.0,1.0,-0.6447,80.21
196,1,1,1.0,1.0,-0.6989,77.68
197,1,1,1.0,1.0,-0.541,92.29
198,1,1,1.0,1.0,-0.564,78.5
199,1,1,1.0,1.0,-0.5743,89.62
200,1,1,1.0,1.0,-0.6962,79.36
201,1,1,1.0,1.0,-0.5869,76.61
202,1,1,1.0,1.0,-0.6142,76.6
203,1,1,1.0,1.0,-0.6035,74.95
204,1,1,1.0,1.0,-0.64,77.83
205,1,1,1.0,1.0,-0.6634,79.45
206,1,1,1.0,1.0,-0.6237,80.33
207,1,1,1.0,1.0,-0.6551,84.2
208,1,1,1.0,1.0,-0.6612,77.01
209,1,1,1.0,1.0,-0.645,83.53
210,0,1,0.0,1.0,,71.61
211,0,1,0.0,1.0,,76.26
212,1,1,1.0,1.0,-0.7376,85.42
213,1,1,1.0,1.0,-0.5856,78.43
214,1,1,1.0,1.0,-0.667,69.94
215,1,1,1.0,1.0,-0.5529,77.4
